title,price,weight,image_url
Hersheys Creamy Milk Chocolate Bar ,640,40g,https://assets.indolj.io/upload/1752371815-Hersheys Creamy Milk Chocolate Bar 40g.webp?q=10
Mr Beast Feastables Milk Crunch Chocolate ,1950,60g,https://assets.indolj.io/upload/1732373401-MrBeast Feastables Milk Crunch Chocolate 60g.jpg?q=10
Mr Beast Deez Nutz Milk Chocolate With Peanut Butter ,2150,60g,https://assets.indolj.io/upload/1732373487-MrBeast Deez Nutz Milk Chocolate With Peanut Butter 60g_11zon.png?q=10
Mr Beast Original Chocolate Bar ,2150,60g,https://assets.indolj.io/upload/1732373542-MrBeast Original Chocolate Bar 60g.jpeg?q=10
Hersheys Nuggets Cookies N Cream ,470,28g,https://assets.indolj.io/upload/1752371830-Hersheys Nuggets Cookies N Cream 28g.webp?q=10
Mr Beast Milk Chocolate Bar ,2150,60g,https://assets.indolj.io/upload/1732373603-Mr Beast Milk Chocolate Bar_11zon.jpg?q=10
Hersheys Nuggets Creamy Milk Chocolate With Almond ,470,28g,https://assets.indolj.io/upload/1752371872-Hersheys Nuggets Creamy milk Chocolate With Almond 28g.webp?q=10
Galaxy Caramel Chocolate bar ,670,40g,https://assets.indolj.io/upload/1752371880-Galaxy Caramel Chocolate bar 40g.jpg?q=10
Hersheys Kisses Cookies& Cream Mini ,790,36g,https://assets.indolj.io/upload/1784852595-HersheysKissesCookiesCreamMini36g.jfif?q=10
Hersheys Kisses Milk Mini ,790,36g,https://assets.indolj.io/upload/1784852607-HersheysKissesMilkMini36g.jfif?q=10
KitKat Lotus Bar ,500,41g,https://assets.indolj.io/upload/1784852622-KitKatLotusBar41g.png?q=10
Mr Beast Cookies & Cream ,1950,60g,https://assets.indolj.io/upload/1784852903-vv.jfif?q=10
Sorbon Mini Cone Mint ,990,200g,https://assets.indolj.io/upload/1750126927-Sorbon Mini Cone Mint 200g.webp?q=10
Sorbon Mini Cone Hazelnut ,990,200g,https://assets.indolj.io/upload/1750126938-Sorbon Mini Cone Hazelnut 200g.webp?q=10
Sorbon Mini Cone Popping Candy ,990,200g,https://assets.indolj.io/upload/1750080628-Sorbon-Mini-Cone-Popping-Candy-200g.jpg?q=10
Lindt Lindor Milk Chocolate Box ,4620,200g,https://assets.indolj.io/upload/1750126967-Lindt Lindor Milk Chocolate Box 200g.jpg?q=10
